+---------+----------------------+---------------------+
| section | audit_name           | audited_at          |
+---------+----------------------+---------------------+
| audit   | 04_sympathetic_items | 2026-05-24 15:33:05 |
+---------+----------------------+---------------------+
+-------+------------------------------------------+------------+------------+-----------+--------------------+-----------+--------------------+-----------+--------------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+-----------+-----------+-----------+-----------+
| id    | name                                     | goodEffect | targettype | effectid1 | effect_base_value1 | effectid2 | effect_base_value2 | effectid3 | effect_base_value3 | classes1 | classes2 | classes3 | classes4 | classes5 | classes6 | classes7 | classes8 | classes9 | classes10 | classes11 | classes12 | classes13 |
+-------+------------------------------------------+------------+------------+-----------+--------------------+-----------+--------------------+-----------+--------------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+-----------+-----------+-----------+-----------+
|   489 | Sympathetic Aura                         |          1 |          5 |        10 |                  6 |       254 |                  0 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
|  1020 | Air Elemental Strike I                   |          0 |          5 |        21 |               3000 |         0 |                -10 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
|  6330 | Chaotic Strike I                         |          0 |          5 |         0 |               -100 |        21 |               1000 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
|  6331 | Chaotic Strike II                        |          0 |          5 |         0 |               -125 |        21 |               1000 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
|  6332 | Chaotic Strike III                       |          0 |          5 |         0 |               -150 |        21 |               1000 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
|  6333 | Chaotic Strike IV                        |          0 |          5 |         0 |               -175 |        21 |               1000 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
|  6341 | Freezing Strike I                        |          0 |          5 |         0 |               -100 |       254 |                  0 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
|  6342 | Freezing Strike II                       |          0 |          5 |         0 |               -125 |       254 |                  0 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
|  6343 | Freezing Strike III                      |          0 |          5 |         0 |               -150 |       254 |                  0 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
|  6344 | Freezing Strike IV                       |          0 |          5 |         0 |               -175 |       254 |                  0 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
|  6349 | Freezing Strike IX                       |          0 |          5 |         0 |               -300 |       254 |                  0 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
|  6350 | Fiery Strike I                           |          0 |          5 |         0 |               -100 |       254 |                  0 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
|  6351 | Fiery Strike II                          |          0 |          5 |         0 |               -125 |       254 |                  0 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
|  6352 | Fiery Strike III                         |          0 |          5 |         0 |               -150 |       254 |                  0 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
|  6353 | Fiery Strike IV                          |          0 |          5 |         0 |               -175 |       254 |                  0 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
|  6358 | Fiery Strike IX                          |          0 |          5 |         0 |               -300 |       254 |                  0 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
| 12303 | Stunning Strike II                       |          0 |          5 |         0 |               -250 |        21 |               1000 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
| 12304 | Stunning Strike III                      |          0 |          5 |         0 |               -290 |        21 |               1000 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
| 12305 | Stunning Strike IV                       |          0 |          5 |         0 |               -325 |        21 |               1000 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
| 13397 | Sympathetic Minion                       |          1 |          6 |       383 |                 50 |       138 |                  0 |       348 |                 10 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
| 15514 | Air Elemental Strike II                  |          0 |          5 |        21 |               3000 |         0 |                -22 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
| 15515 | Water Elemental Strike II                |          0 |          5 |         0 |                -45 |       254 |                  0 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
| 15516 | Earth Elemental Strike III               |          0 |          5 |        79 |                -10 |        99 |             -10000 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
| 15518 | Air Elemental Strike III                 |          0 |          5 |        21 |               3000 |         0 |                -26 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
| 15519 | Water Elemental Strike III               |          0 |          5 |         0 |                -54 |       254 |                  0 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
| 15520 | Earth Elemental Strike III               |          0 |          5 |        79 |                -10 |        99 |             -10000 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
| 15522 | Air Elemental Strike IV                  |          0 |          5 |        21 |               3000 |         0 |                -53 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
| 15523 | Water Elemental Strike IV                |          0 |          5 |         0 |                -44 |       254 |                  0 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
| 15524 | Earth Elemental Strike IV                |          0 |          5 |        79 |                -10 |        99 |             -10000 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
| 15542 | Air Elemental Strike IX                  |          0 |          5 |        21 |               3000 |         0 |               -649 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
| 15543 | Water Elemental Strike IX                |          0 |          5 |         0 |               -448 |       254 |                  0 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
| 15544 | Earth Elemental Strike IX                |          0 |          5 |        79 |                -10 |        99 |             -10000 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
| 17853 | Stunning Strike II                       |          0 |          5 |         0 |               -250 |        21 |               1000 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
| 17854 | Stunning Strike III                      |          0 |          5 |         0 |               -290 |        21 |               1000 |       254 |                  0 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |      255 |       255 |       255 |       255 |       255 |
