+---------+------------------------------+---------------------+
| section | audit_name                   | audited_at          |
+---------+------------------------------+---------------------+
| audit   | 06_defiant_and_missing_items | 2026-05-24 15:33:11 |
+---------+------------------------------+---------------------+
+-------+--------------------------------------+-----------+-------+----------+----------+---------+---------+--------------+--------+------------+
| id    | Name                                 | minstatus | price | reqlevel | reclevel | classes | slots   | artifactflag | nodrop | attuneable |
+-------+--------------------------------------+-----------+-------+----------+----------+---------+---------+--------------+--------+------------+
| 17525 | Package of Defiant Armor             |         0 |     0 |        0 |        0 |   65535 |       0 |            0 |      0 |          0 |
| 40598 | Bundle of Defiant Armor              |         0 |     0 |        0 |        0 |   65535 |       0 |            0 |      0 |          0 |
| 50005 | Crude Defiant Plate Bracer           |         0 |  1242 |        0 |       10 |     151 |    1536 |            0 |      1 |          1 |
| 50006 | Crude Defiant Plate Gauntlets        |         0 |  1380 |        0 |       10 |     151 |    4096 |            0 |      1 |          1 |
| 50007 | Crude Defiant Plate Boots            |         0 |  1533 |        0 |       10 |     151 |  524288 |            0 |      1 |          1 |
| 50008 | Crude Defiant Plate Helm             |         0 |  1704 |        0 |       10 |     151 |       4 |            0 |      1 |          1 |
| 50009 | Crude Defiant Plate Vambraces        |         0 |  1893 |        0 |       10 |     151 |     128 |            0 |      1 |          1 |
| 50010 | Crude Defiant Plate Greaves          |         0 |  2103 |        0 |       10 |     151 |  262144 |            0 |      1 |          1 |
| 50011 | Crude Defiant Breastplate            |         0 |  2337 |        0 |       10 |     151 |  131072 |            0 |      1 |          1 |
| 50012 | Crude Defiant Chain Bracer           |         0 |  1242 |        0 |       10 |   33544 |    1536 |            0 |      1 |          1 |
| 50013 | Crude Defiant Chain Gauntlets        |         0 |  1380 |        0 |       10 |   33544 |    4096 |            0 |      1 |          1 |
| 50014 | Crude Defiant Chain Boots            |         0 |  1533 |        0 |       10 |   33544 |  524288 |            0 |      1 |          1 |
| 50015 | Crude Defiant Chain Coif             |         0 |  1704 |        0 |       10 |   33544 |       4 |            0 |      1 |          1 |
| 50016 | Crude Defiant Chain Sleeves          |         0 |  1893 |        0 |       10 |   33544 |     128 |            0 |      1 |          1 |
