+--------------------+-----------------------------------------------------------------------------------------------------+
| section            | note                                                                                                |
+--------------------+-----------------------------------------------------------------------------------------------------+
| defiant_audit_note | This audit intentionally uses conservative schema columns so it works on the restored MSR baseline. |
+--------------------+-----------------------------------------------------------------------------------------------------+
+--------------------------+-------------------+----------------------+-------------+----------------+
| section                  | COLUMN_NAME       | COLUMN_TYPE          | IS_NULLABLE | COLUMN_DEFAULT |
+--------------------------+-------------------+----------------------+-------------+----------------+
| lootdrop_entries_columns | lootdrop_id       | int(11) unsigned     | NO          | 0              |
| lootdrop_entries_columns | item_id           | int(11)              | NO          | 0              |
| lootdrop_entries_columns | item_charges      | smallint(2) unsigned | NO          | 1              |
| lootdrop_entries_columns | equip_item        | tinyint(2) unsigned  | NO          | 0              |
| lootdrop_entries_columns | chance            | float                | NO          | 1              |
| lootdrop_entries_columns | disabled_chance   | float                | NO          | 0              |
| lootdrop_entries_columns | trivial_min_level | smallint(5) unsigned | NO          | 0              |
| lootdrop_entries_columns | trivial_max_level | smallint(5) unsigned | NO          | 0              |
| lootdrop_entries_columns | multiplier        | tinyint(2) unsigned  | NO          | 1              |
| lootdrop_entries_columns | npc_min_level     | smallint(5) unsigned | NO          | 0              |
| lootdrop_entries_columns | npc_max_level     | smallint(5) unsigned | NO          | 0              |
+--------------------------+-------------------+----------------------+-------------+----------------+
+---------------------------+--------------+---------------------+-------------+----------------+
| section                   | COLUMN_NAME  | COLUMN_TYPE         | IS_NULLABLE | COLUMN_DEFAULT |
+---------------------------+--------------+---------------------+-------------+----------------+
| loottable_entries_columns | loottable_id | int(11) unsigned    | NO          | 0              |
| loottable_entries_columns | lootdrop_id  | int(11) unsigned    | NO          | 0              |
| loottable_entries_columns | multiplier   | tinyint(2) unsigned | NO          | 1              |
| loottable_entries_columns | droplimit    | tinyint(2) unsigned | NO          | 0              |
| loottable_entries_columns | mindrop      | tinyint(2) unsigned | NO          | 0              |
| loottable_entries_columns | probability  | float               | NO          | 100            |
+---------------------------+--------------+---------------------+-------------+----------------+
+----------------------+------------------------+----------------------+-------------+----------------+
| section              | COLUMN_NAME            | COLUMN_TYPE          | IS_NULLABLE | COLUMN_DEFAULT |
+----------------------+------------------------+----------------------+-------------+----------------+
| merchantlist_columns | merchantid             | int(11)              | NO          | 0              |
| merchantlist_columns | slot                   | int(11) unsigned     | NO          | 0              |
| merchantlist_columns | item                   | int(11)              | NO          | 0              |
| merchantlist_columns | faction_required       | smallint(6)          | NO          | -100           |
| merchantlist_columns | level_required         | tinyint(3) unsigned  | NO          | 0              |
| merchantlist_columns | min_status             | tinyint(3) unsigned  | NO          | 0              |
| merchantlist_columns | max_status             | tinyint(3) unsigned  | NO          | 255            |
| merchantlist_columns | alt_currency_cost      | smallint(5) unsigned | NO          | 0              |
| merchantlist_columns | classes_required       | int(11)              | NO          | 65535          |
| merchantlist_columns | probability            | int(3)               | NO          | 100            |
| merchantlist_columns | bucket_name            | varchar(100)         | NO          | ''             |
| merchantlist_columns | bucket_value           | varchar(100)         | NO          | ''             |
| merchantlist_columns | bucket_comparison      | tinyint(3) unsigned  | YES         | 0              |
| merchantlist_columns | min_expansion          | tinyint(4)           | NO          | -1             |
| merchantlist_columns | max_expansion          | tinyint(4)           | NO          | -1             |
| merchantlist_columns | content_flags          | varchar(100)         | YES         | NULL           |
| merchantlist_columns | content_flags_disabled | varchar(100)         | YES         | NULL           |
+----------------------+------------------------+----------------------+-------------+----------------+
+--------------------+-------------+
| section            | count_value |
+--------------------+-------------+
| defiant_item_count |         417 |
+--------------------+-------------+
+----------------------+-------+--------------------------------------+----------+---------+-------+---------+----------+----------+--------+--------+
| section              | id    | Name                                 | itemtype | classes | races | slots   | reqlevel | reclevel | nodrop | norent |
+----------------------+-------+--------------------------------------+----------+---------+-------+---------+----------+----------+--------+--------+
| defiant_items_sample | 17525 | Package of Defiant Armor             |       11 |   65535 | 65535 |       0 |        0 |        0 |      0 |      1 |
| defiant_items_sample | 40598 | Bundle of Defiant Armor              |       11 |   65535 | 65535 |       0 |        0 |        0 |      0 |      1 |
| defiant_items_sample | 50005 | Crude Defiant Plate Bracer           |       10 |     151 | 65535 |    1536 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50006 | Crude Defiant Plate Gauntlets        |       10 |     151 | 65535 |    4096 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50007 | Crude Defiant Plate Boots            |       10 |     151 | 65535 |  524288 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50008 | Crude Defiant Plate Helm             |       10 |     151 | 65535 |       4 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50009 | Crude Defiant Plate Vambraces        |       10 |     151 | 65535 |     128 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50010 | Crude Defiant Plate Greaves          |       10 |     151 | 65535 |  262144 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50011 | Crude Defiant Breastplate            |       10 |     151 | 65535 |  131072 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50012 | Crude Defiant Chain Bracer           |       10 |   33544 | 65535 |    1536 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50013 | Crude Defiant Chain Gauntlets        |       10 |   33544 | 65535 |    4096 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50014 | Crude Defiant Chain Boots            |       10 |   33544 | 65535 |  524288 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50015 | Crude Defiant Chain Coif             |       10 |   33544 | 65535 |       4 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50016 | Crude Defiant Chain Sleeves          |       10 |   33544 | 65535 |     128 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50017 | Crude Defiant Chain Leggings         |       10 |   33544 | 65535 |  262144 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50018 | Crude Defiant Chain Tunic            |       10 |   33544 | 65535 |  131072 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50019 | Crude Defiant Leather Bracer         |       10 |   16480 | 65535 |    1536 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50020 | Crude Defiant Leather Gloves         |       10 |   16480 | 65535 |    4096 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50021 | Crude Defiant Leather Boots          |       10 |   16480 | 65535 |  524288 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50022 | Crude Defiant Leather Cap            |       10 |   16480 | 65535 |       4 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50023 | Crude Defiant Leather Sleeves        |       10 |   16480 | 65535 |     128 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50024 | Crude Defiant Leather Trousers       |       10 |   16480 | 65535 |  262144 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50025 | Crude Defiant Leather Tunic          |       10 |   16480 | 65535 |  131072 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50026 | Crude Defiant Cloth Wristwrap        |       10 |   15360 | 65535 |    1536 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50027 | Crude Defiant Cloth Gloves           |       10 |   15360 | 65535 |    4096 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50028 | Crude Defiant Cloth Sandals          |       10 |   15360 | 65535 |  524288 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50029 | Crude Defiant Cloth Cap              |       10 |   15360 | 65535 |       4 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50030 | Crude Defiant Cloth Sleeves          |       10 |   15360 | 65535 |     128 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50031 | Crude Defiant Cloth Pantaloons       |       10 |   15360 | 65535 |  262144 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50032 | Crude Defiant Cloth Robe             |       10 |   15360 | 65535 |  131072 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50033 | Simple Defiant Plate Bracer          |       10 |     151 | 65535 |    1536 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50034 | Simple Defiant Plate Gauntlets       |       10 |     151 | 65535 |    4096 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50035 | Simple Defiant Plate Boots           |       10 |     151 | 65535 |  524288 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50036 | Simple Defiant Plate Helm            |       10 |     151 | 65535 |       4 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50037 | Simple Defiant Plate Vambraces       |       10 |     151 | 65535 |     128 |        5 |       20 |      1 |      1 |
