+---------+-----------------------------------+---------------------+
| section | audit_name                        | audited_at          |
+---------+-----------------------------------+---------------------+
| audit   | 20_defiant_spawn_cleanup_recovery | 2026-05-24 15:33:54 |
+---------+-----------------------------------+---------------------+
+-------------------------------+-------------------+-----------------------------+------------------------------------+--------------------------------+-----------------------+
| section                       | defiant_item_rows | defiant_lootdrop_rows_total | defiant_lootdrop_rows_still_active | defiant_lootdrop_rows_disabled | defiant_merchant_rows |
+-------------------------------+-------------------+-----------------------------+------------------------------------+--------------------------------+-----------------------+
| defiant_spawn_cleanup_summary |               417 |                         372 |                                  0 |                            372 |                     0 |
+-------------------------------+-------------------+-----------------------------+------------------------------------+--------------------------------+-----------------------+
+---------------------------------------+-------------+---------+----------------------------------+--------+-----------------+
| section                               | lootdrop_id | item_id | Name                             | chance | disabled_chance |
+---------------------------------------+-------------+---------+----------------------------------+--------+-----------------+
| defiant_disabled_lootdrop_rows_sample |      176432 |   50005 | Crude Defiant Plate Bracer       |      0 |               1 |
| defiant_disabled_lootdrop_rows_sample |      176432 |   50006 | Crude Defiant Plate Gauntlets    |      0 |               1 |
| defiant_disabled_lootdrop_rows_sample |      176432 |   50007 | Crude Defiant Plate Boots        |      0 |               1 |
| defiant_disabled_lootdrop_rows_sample |      176432 |   50008 | Crude Defiant Plate Helm         |      0 |               1 |
| defiant_disabled_lootdrop_rows_sample |      176432 |   50009 | Crude Defiant Plate Vambraces    |      0 |               1 |
| defiant_disabled_lootdrop_rows_sample |      176432 |   50010 | Crude Defiant Plate Greaves      |      0 |               1 |
| defiant_disabled_lootdrop_rows_sample |      176432 |   50011 | Crude Defiant Breastplate        |      0 |               1 |
| defiant_disabled_lootdrop_rows_sample |      176432 |   50012 | Crude Defiant Chain Bracer       |      0 |               1 |
| defiant_disabled_lootdrop_rows_sample |      176432 |   50013 | Crude Defiant Chain Gauntlets    |      0 |               1 |
| defiant_disabled_lootdrop_rows_sample |      176432 |   50014 | Crude Defiant Chain Boots        |      0 |               1 |
| defiant_disabled_lootdrop_rows_sample |      176432 |   50015 | Crude Defiant Chain Coif         |      0 |               1 |
| defiant_disabled_lootdrop_rows_sample |      176432 |   50016 | Crude Defiant Chain Sleeves      |      0 |               1 |
| defiant_disabled_lootdrop_rows_sample |      176432 |   50017 | Crude Defiant Chain Leggings     |      0 |               1 |
| defiant_disabled_lootdrop_rows_sample |      176432 |   50018 | Crude Defiant Chain Tunic        |      0 |               1 |
| defiant_disabled_lootdrop_rows_sample |      176432 |   50019 | Crude Defiant Leather Bracer     |      0 |               1 |
