+---------+-------------------------------+---------------------+
| section | audit_name                    | audited_at          |
+---------+-------------------------------+---------------------+
| audit   | 22_nektulos_lavastorm_version | 2026-05-24 15:34:07 |
+---------+-------------------------------+---------------------+
+------------+-----------------------------------------------------------------------------------------------------------------------------------------------------+
| section    | note                                                                                                                                                |
+------------+-----------------------------------------------------------------------------------------------------------------------------------------------------+
| audit_note | Read-only: inspect zone rows, zone_points, doors/PoK stone style links, and spawn2 rows for nektulos/lavastorm before any recovery SQL is promoted. |
+------------+-----------------------------------------------------------------------------------------------------------------------------------------------------+
+--------------+---------------------------+------------------------------+-------------+----------------+
| section      | COLUMN_NAME               | COLUMN_TYPE                  | IS_NULLABLE | COLUMN_DEFAULT |
+--------------+---------------------------+------------------------------+-------------+----------------+
| zone_columns | id                        | int(10)                      | NO          | NULL           |
| zone_columns | zoneidnumber              | int(4)                       | NO          | 0              |
| zone_columns | version                   | tinyint(3) unsigned          | NO          | 0              |
| zone_columns | short_name                | varchar(32)                  | YES         | NULL           |
| zone_columns | long_name                 | text                         | NO          | NULL           |
| zone_columns | min_status                | tinyint(3) unsigned          | NO          | 0              |
| zone_columns | map_file_name             | varchar(100)                 | YES         | NULL           |
| zone_columns | note                      | varchar(200)                 | YES         | NULL           |
| zone_columns | min_expansion             | tinyint(4)                   | NO          | -1             |
| zone_columns | max_expansion             | tinyint(4)                   | NO          | -1             |
| zone_columns | content_flags             | varchar(100)                 | YES         | NULL           |
| zone_columns | content_flags_disabled    | varchar(100)                 | YES         | NULL           |
| zone_columns | expansion                 | tinyint(3)                   | NO          | 0              |
| zone_columns | file_name                 | varchar(16)                  | YES         | NULL           |
| zone_columns | safe_x                    | float                        | NO          | 0              |
| zone_columns | safe_y                    | float                        | NO          | 0              |
| zone_columns | safe_z                    | float                        | NO          | 0              |
| zone_columns | safe_heading              | float                        | NO          | 0              |
| zone_columns | graveyard_id              | float                        | NO          | 0              |
| zone_columns | min_level                 | tinyint(3) unsigned          | NO          | 0              |
| zone_columns | max_level                 | tinyint(3) unsigned          | NO          | 255            |
| zone_columns | timezone                  | int(5)                       | NO          | 0              |
| zone_columns | maxclients                | int(5)                       | NO          | 0              |
| zone_columns | ruleset                   | int(10) unsigned             | NO          | 0              |
| zone_columns | underworld                | float                        | NO          | 0              |
| zone_columns | minclip                   | float                        | NO          | 450            |
| zone_columns | maxclip                   | float                        | NO          | 450            |
| zone_columns | fog_minclip               | float                        | NO          | 450            |
| zone_columns | fog_maxclip               | float                        | NO          | 450            |
| zone_columns | fog_blue                  | tinyint(3) unsigned          | NO          | 0              |
| zone_columns | fog_red                   | tinyint(3) unsigned          | NO          | 0              |
| zone_columns | fog_green                 | tinyint(3) unsigned          | NO          | 0              |
| zone_columns | sky                       | tinyint(3) unsigned          | NO          | 1              |
| zone_columns | ztype                     | tinyint(3) unsigned          | NO          | 1              |
| zone_columns | zone_exp_multiplier       | decimal(6,2)                 | NO          | 0.00           |
